Ciudad,city_id,longitude,latitude,temp,temp_min,temp_max,pressure,humidity
London,2643743,-0.1277,51.5073,23.45,22.15,24.5,1018,45
New York,5128581,-74.006,40.7128,27.02,23.97,29.76,1014,69
Cordoba,3860259,-64.1918,-31.4236,26.11,25.77,27.25,980,30
Taipei,1675720,121.5654,25.033,27.32,26.43,28.34,1004,70
Buenos Aires,6693229,-58.3816,-34.6037,21.75,19.82,26.79,1008,83
Mexico DF,3530597,-99.1332,19.4326,20.15,19.23,20.59,1022,52
Dublin,2962486,-6.2631,53.3519,17.27,16.6,18.1,1022,83
Tilfis,8133731,21.7632,38.7223,17.78,17.78,18.27,1014,53
Bogota,7033249,-74.0721,4.711,22.21,20.99,22.21,1026,67
Tokio,1850144,139.6917,35.6895,27.87,24.78,29.79,1004,89
